Metric,Control (Not First),Treated (Listed Left)
Number of Candidates,1022,292
Mean Vote Share (%),20.460772994129158,28.37123287671233
Win Rate,0.21037181996086107,0.26369863013698636
Incumbency Rate,0.22309197651663407,0.31849315068493156
Proportion Male,0.7367906066536202,0.7568493150684932
Mean Birth Year,1964.5381604696672,1963.626712328767
