Metric,Control (Not Middle),Treated (Listed Middle)
Number of Candidates,1180,134
Mean Vote Share (%),22.041237288135594,23.780970149253733
Win Rate,0.22203389830508463,0.22388059701492538
Incumbency Rate,0.24406779661016956,0.24626865671641796
Proportion Male,0.7389830508474575,0.7611940298507462
Mean Birth Year,1964.327966101695,1964.402985074627
