Metric,Control (Not Right),Treated (Listed Right)
Number of Candidates,1022,292
Mean Vote Share (%),20.80293542074364,27.173664383561643
Win Rate,0.19960861056751483,0.3013698630136986
Incumbency Rate,0.22504892367906051,0.3116438356164384
Proportion Male,0.7416829745596867,0.7397260273972603
Mean Birth Year,1964.6409001956947,1963.2671232876712
