Variable,N,Mean,SD,Min,Q1,Median,Q3,Max
birth_year,1314,1964.335616438356,11.74685364530079,1925,1956,1964,1972,1996
incumbency,1314,0.24429223744292256,0.42983036716808865,0,0,0,0,1
male,1314,0.7412480974124811,0.43811577543918795,0,0,1,1,1
percentage,1314,22.21865296803653,23.144089231348733,0.05,0.78,7.699999999999999,44.88249999999999,76.46
